"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.420773844787547,0.420773844787547,0.363653549470207,0.477894140104887,2.98469318150897e-47,14.4379782499073,0.0291435433344172,0.116356686513588,0.0545115832728175,0.196198298826585,10596.9681986227,0,4021,"active",2267,0.563790101964685
"Passive",0.130794556177223,0.130794556177223,0.0735671572759065,0.188021955078539,7.4802865324712e-06,4.47954344252681,0.0291981890242468,NA,NA,NA,NA,NA,NA,"passive",996,0.247699577219597
"SOC",0.222895272579349,0.222895272579349,0.159130556422959,0.28665998873574,7.32179237441426e-12,6.85122953434461,0.0325336162599713,NA,NA,NA,NA,NA,NA,"SOC",758,0.188510320815717
"Active1",0.217136673417048,0.217136673417048,0.133378763159854,0.300894583674241,3.75308767611005e-07,5.08107303911274,0.0427344129371076,0.111510813692789,0.0442810869018719,0.135804283793081,380.882047729754,3.06185977531461e-82,2502,"active",1345,0.537569944044764
"Passive1",-0.017220410509623,-0.017220410509623,-0.102023987074717,0.0675831660554709,0.690634002272286,-0.39799482244654,0.0432679259588511,NA,NA,NA,NA,NA,NA,"passive",649,0.259392486011191
"SOC1",0.120535890942377,0.120535890942377,0.0325373220439712,0.208534459840783,0.00726041976181106,2.68465735351051,0.0448980540420781,NA,NA,NA,NA,NA,NA,"SOC",508,0.203037569944045
