Var,number,estimate,ci.lb,ci.ub,filename
active,2267,0.420773844787547,0.363653549470207,0.477894140104887,CroplandP1.csv
passive,996,0.130794556177223,0.0735671572759065,0.188021955078539,CroplandP1.csv
SOC,758,0.222895272579349,0.159130556422959,0.28665998873574,CroplandP1.csv
active,1345,0.217136673417048,0.133378763159854,0.300894583674241,CroplandP1.csv
passive,649,-0.017220410509623,-0.102023987074717,0.0675831660554709,CroplandP1.csv
SOC,508,0.120535890942377,0.0325373220439712,0.208534459840783,CroplandP1.csv
active,1287,0.508896302692778,0.435237297495863,0.582555307889694,CroplandP2.csv
passive,489,0.602205962064064,0.528314125710899,0.676097798417229,CroplandP2.csv
SOC,357,0.515310159955123,0.427253002186586,0.603367317723661,CroplandP2.csv
active,837,0.372466206589994,0.258147645038555,0.486784768141434,CroplandP2.csv
passive,310,0.251379252715825,0.134280293485483,0.368478211946166,CroplandP2.csv
SOC,173,0.250022824001101,0.124275361768378,0.375770286233824,CroplandP2.csv
active,646,0.5585308751074,0.456830312864034,0.660231437350765,CroplandP3.csv
passive,298,0.489373506289139,0.386783288650549,0.591963723927729,CroplandP3.csv
SOC,179,0.655746833638006,0.540235271705796,0.771258395570215,CroplandP3.csv
active,357,0.339291323314151,0.165105639474068,0.513477007154233,CroplandP3.csv
passive,143,0.0812983654058623,-0.0975895245514686,0.260186255363193,CroplandP3.csv
SOC,72,0.286678852809825,0.0895298394337139,0.483827866185935,CroplandP3.csv
active,825,0.0941870222235407,0.0109874496561105,0.177386594790971,GrasslandP1.csv
passive,408,0.0635227992620397,-0.0215264092096126,0.148572007733692,GrasslandP1.csv
SOC,269,0.0982643334708427,0.00492913811719926,0.191599528824486,GrasslandP1.csv
active,293,0.0453941942411044,-0.0521672333796217,0.14295562186183,GrasslandP1.csv
passive,156,0.146447146708321,0.0417875987989135,0.251106694617729,GrasslandP1.csv
SOC,93,0.119869251441565,-0.00160487309679369,0.241343375979923,GrasslandP1.csv
active,390,0.230444833750293,0.127013141719059,0.333876525781527,GrasslandP2.csv
passive,158,0.201175414212188,0.0839223999045152,0.31842842851986,GrasslandP2.csv
SOC,122,0.177301365816991,0.0549874282399363,0.299615303394046,GrasslandP2.csv
active,135,0.169498255469243,-0.0121014635934631,0.351097974531949,GrasslandP2.csv
passive,69,0.0845277085597821,-0.113276152126914,0.282331569246478,GrasslandP2.csv
SOC,48,0.101960602554317,-0.107973074328825,0.31189427943746,GrasslandP2.csv
active,369,0.200024466086222,0.0582618562447594,0.341787075927684,GrasslandP3.csv
passive,153,0.0797394157607011,-0.0775018989700469,0.236980730491449,GrasslandP3.csv
SOC,54,0.240316345386211,0.0439327258293998,0.436699964943023,GrasslandP3.csv
active,47,0.0802576085103411,-0.226053310521696,0.386568527542378,GrasslandP3.csv
passive,25,-0.0961149048411216,-0.438737047301197,0.246507237618954,GrasslandP3.csv
SOC,5,0.109871631368207,-0.486647164844903,0.706390427581318,GrasslandP3.csv
active,953,-0.370263231799782,-0.486747330181603,-0.25377913341796,NaturalP1.csv
passive,366,-0.535265826824456,-0.651928878871456,-0.418602774777455,NaturalP1.csv
SOC,269,-0.276371320657186,-0.393402478219731,-0.159340163094642,NaturalP1.csv
active,333,-0.31965405802989,-0.498162036533634,-0.141146079526145,NaturalP1.csv
passive,125,-0.27451033742337,-0.45509281190116,-0.0939278629455803,NaturalP1.csv
SOC,88,-0.172826380451701,-0.364823854576657,0.0191710936732546,NaturalP1.csv
active,770,-0.354754954939426,-0.444397300104831,-0.265112609774022,NaturalP2.csv
passive,301,-0.151981201175107,-0.241891549785623,-0.0620708525645912,NaturalP2.csv
SOC,205,-0.0594559259962657,-0.149910243004337,0.0309983910118055,NaturalP2.csv
active,272,-0.224084885392019,-0.389037420838784,-0.059132349945254,NaturalP2.csv
passive,100,-0.220051582782348,-0.388590919946579,-0.0515122456181161,NaturalP2.csv
SOC,67,-0.25242230212624,-0.446234162884191,-0.0586104413682895,NaturalP2.csv
active,438,-0.346955716739022,-0.466631676013147,-0.227279757464897,NaturalP3.csv
passive,162,-0.334283127575167,-0.454244760815935,-0.2143214943344,NaturalP3.csv
SOC,93,-0.204794551020112,-0.325203234622938,-0.0843858674172852,NaturalP3.csv
active,173,-0.341876401964383,-0.561004921318448,-0.122747882610317,NaturalP3.csv
passive,54,-0.317528672391212,-0.543058450001744,-0.0919988947806795,NaturalP3.csv
SOC,18,-0.224719257472367,-0.518183706093216,0.0687451911484824,NaturalP3.csv
