"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.370263231799782,-0.370263231799782,-0.486747330181603,-0.25377913341796,4.66264817481569e-10,-6.23005722848286,0.0594317545121408,0.276985758494652,0.0918902950007666,0.189263476671044,2072.85147884178,0,1588,"active",953,0.600125944584383
"Passive",-0.535265826824456,-0.535265826824456,-0.651928878871456,-0.418602774777455,2.41495236326717e-19,-8.9925792641558,0.0595230590802811,NA,NA,NA,NA,NA,NA,"passive",366,0.230478589420655
"SOC",-0.276371320657186,-0.276371320657186,-0.393402478219731,-0.159340163094642,3.68337204069919e-06,-4.62849249831926,0.0597108714678796,NA,NA,NA,NA,NA,NA,"SOC",269,0.169395465994962
"Active1",-0.31965405802989,-0.31965405802989,-0.498162036533634,-0.141146079526145,0.000448603187696328,-3.50970554090678,0.0910771728010273,0.174601909657601,0.102076855222239,0.118132866919085,19.9566376371933,0.000173291168326627,546,"active",333,0.60989010989011
"Passive1",-0.27451033742337,-0.27451033742337,-0.45509281190116,-0.0939278629455803,0.00288798082758628,-2.97941633754674,0.0921356085633212,NA,NA,NA,NA,NA,NA,"passive",125,0.228937728937729
"SOC1",-0.172826380451701,-0.172826380451701,-0.364823854576657,0.0191710936732546,0.0776881997376998,-1.76426009148067,0.0979596949940954,NA,NA,NA,NA,NA,NA,"SOC",88,0.161172161172161
