"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.230444833750293,0.230444833750293,0.127013141719059,0.333876525781527,1.26090888705929e-05,4.36678126117768,0.0527722411468222,0.0387349543895098,0.166593314582608,0.146060387187428,19.1638112545953,0.000252883021793102,670,"active",390,0.582089552238806
"Passive",0.201175414212188,0.201175414212188,0.0839223999045152,0.31842842851986,0.000771606980597642,3.36278405087462,0.0598240657647535,NA,NA,NA,NA,NA,NA,"passive",158,0.235820895522388
"SOC",0.177301365816991,0.177301365816991,0.0549874282399363,0.299615303394046,0.00449603292765045,2.84108498422058,0.0624062169212555,NA,NA,NA,NA,NA,NA,"SOC",122,0.182089552238806
"Active1",0.169498255469243,0.169498255469243,-0.0121014635934631,0.351097974531949,0.0673463436001032,1.82935567233655,0.0926546204395291,0.156457160173661,0.0375632940373355,0.161348758370129,4.2346074372672,0.237219784103875,252,"active",135,0.535714285714286
"Passive1",0.0845277085597821,0.0845277085597821,-0.113276152126914,0.282331569246478,0.402281663747455,0.837553240354999,0.100922191554002,NA,NA,NA,NA,NA,NA,"passive",69,0.273809523809524
"SOC1",0.101960602554317,0.101960602554317,-0.107973074328825,0.31189427943746,0.341139867349115,0.951915442131293,0.107110987007451,NA,NA,NA,NA,NA,NA,"SOC",48,0.19047619047619
