"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.354754954939426,-0.354754954939426,-0.444397300104831,-0.265112609774022,8.73353682722609e-15,-7.75645632357623,0.0457367308136741,0.090704683116065,0.0855548249261567,0.2699000920532,920.800577606314,2.72388546351298e-199,1276,"active",770,0.603448275862069
"Passive",-0.151981201175107,-0.151981201175107,-0.241891549785623,-0.0620708525645912,0.000922837457362655,-3.31305222628741,0.0458734697778721,NA,NA,NA,NA,NA,NA,"passive",301,0.2358934169279
"SOC",-0.0594559259962657,-0.0594559259962657,-0.149910243004337,0.0309983910118055,0.197644719057511,-1.28829090169087,0.0461510097744465,NA,NA,NA,NA,NA,NA,"SOC",205,0.160658307210031
"Active1",-0.224084885392019,-0.224084885392019,-0.389037420838784,-0.059132349945254,0.00775455550082884,-2.66257383470098,0.0841610033387804,0.136412551924053,0.0644969915988364,0.178252200102184,7.7642975631986,0.0511426001360102,439,"active",272,0.619589977220957
"Passive1",-0.220051582782348,-0.220051582782348,-0.388590919946579,-0.0515122456181161,0.0104971926128466,-2.55900601160052,0.0859910378423525,NA,NA,NA,NA,NA,NA,"passive",100,0.227790432801822
"SOC1",-0.25242230212624,-0.25242230212624,-0.446234162884191,-0.0586104413682895,0.0106899304396294,-2.55267463573858,0.0988854194703137,NA,NA,NA,NA,NA,NA,"SOC",67,0.152619589977221
