"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.346955716739022,-0.346955716739022,-0.466631676013147,-0.227279757464897,1.32986201145659e-08,-5.68218306469668,0.0610602848920255,0.162889557150338,0.0160171930434988,0.233834513605226,412.372047703809,4.62574431925184e-89,693,"active",438,0.632034632034632
"Passive",-0.334283127575167,-0.334283127575167,-0.454244760815935,-0.2143214943344,4.71852693681655e-08,-5.46160362264959,0.0612060395940994,NA,NA,NA,NA,NA,NA,"passive",162,0.233766233766234
"SOC",-0.204794551020112,-0.204794551020112,-0.325203234622938,-0.0843858674172852,0.000857412218046742,-3.33356309710579,0.061434130704745,NA,NA,NA,NA,NA,NA,"SOC",93,0.134199134199134
"Active1",-0.341876401964383,-0.341876401964383,-0.561004921318448,-0.122747882610317,0.00222919960073488,-3.05786502363777,0.111802319370419,0.192498030917746,0.00214311775071133,0.169331107433054,9.96927337124148,0.0188291369336932,245,"active",173,0.706122448979592
"Passive1",-0.317528672391212,-0.317528672391212,-0.543058450001744,-0.0919988947806795,0.00578935475815983,-2.75947934033049,0.115068327474118,NA,NA,NA,NA,NA,NA,"passive",54,0.220408163265306
"SOC1",-0.224719257472367,-0.224719257472367,-0.518183706093216,0.0687451911484824,0.133398300408777,-1.50083478032279,0.149729510815331,NA,NA,NA,NA,NA,NA,"SOC",18,0.073469387755102
