id,facet,group,N ,OR,Lower,Upper,Landuse,percentage
3,0-30cm,Sensitivity,226,-0.169868018,-0.326426949,-0.013309087,NaturalP2,-15.62238275
4,30+cm,Active,272,-0.224084885,-0.389037421,-0.05913235,NaturalP2,-20.07527126
4,30+cm,Passive,100,-0.220051583,-0.38859092,-0.051512246,NaturalP2,-19.75225973
4,30+cm,SOC,67,-0.252422302,-0.446234163,-0.058610441,NaturalP2,-22.30834246
4,30+cm,Sensitivity,73,-0.135611222,-0.293380134,0.02215769,NaturalP2,-12.68179595
3,0-30cm,Active,438,-0.346955717,-0.466631676,-0.227279757,NaturalP3,-29.31633716
3,0-30cm,Passive,162,-0.334283128,-0.454244761,-0.214321494,NaturalP3,-28.4148924
3,0-30cm,SOC,93,-0.204794551,-0.325203235,-0.084385867,NaturalP3,-18.51852979
3,0-30cm,Sensitivity,117,-0.103061463,-0.256027637,0.049904711,NaturalP3,-9.792847224
4,30+cm,Active,173,-0.341876402,-0.561004921,-0.122747883,NaturalP3,-28.95639922
4,30+cm,Passive,54,-0.317528672,-0.54305845,-0.091998895,NaturalP3,-27.20541912
4,30+cm,SOC,18,-0.224719257,-0.518183706,0.068745191,NaturalP3,-20.12595719
4,30+cm,Sensitivity,44,-0.292266446,-0.44759083,-0.136942062,NaturalP3,-25.3430411
