"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.0941870222235407,0.0941870222235407,0.0109874496561105,0.177386594790971,0.0265003669464922,2.2187995163028,0.0424495415342822,0.0772293065163777,0.0886132230360951,0.152959582746527,9.11769661403863,0.0277662908751358,1502,"active",825,0.549267643142477
"Passive",0.0635227992620397,0.0635227992620397,-0.0215264092096126,0.148572007733692,0.143224928423487,1.46388662502677,0.0433932506630273,NA,NA,NA,NA,NA,NA,"passive",408,0.271637816245007
"SOC",0.0982643334708427,0.0982643334708427,0.00492913811719926,0.191599528824486,0.039067813198021,2.06347191793998,0.0476208726741203,NA,NA,NA,NA,NA,NA,"SOC",269,0.179094540612517
"Active1",0.0453941942411044,0.0453941942411044,-0.0521672333796217,0.14295562186183,0.361795892064177,0.911948379493363,0.0497771532488751,0.0423713505186191,0.0271392142795322,0.140793590905686,12.5348758134694,0.00575845853387037,542,"active",293,0.540590405904059
"Passive1",0.146447146708321,0.146447146708321,0.0417875987989135,0.251106694617729,0.00609693291663166,2.74252219621104,0.0533987097390305,NA,NA,NA,NA,NA,NA,"passive",156,0.287822878228782
"SOC1",0.119869251441565,0.119869251441565,-0.00160487309679369,0.241343375979923,0.053104566760799,1.93406963476452,0.0619777330076118,NA,NA,NA,NA,NA,NA,"SOC",93,0.171586715867159
