"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.508896302692778,0.508896302692778,0.435237297495863,0.582555307889694,8.95309495127778e-42,13.541024922574,0.0375818156751494,0.106843935374533,0.098658527316572,0.278944643128141,638.764021526416,3.97597550196177e-138,2121,"active",1287,0.60337552742616
"Passive",0.602205962064064,0.602205962064064,0.528314125710899,0.676097798417229,1.95893859055552e-57,15.9733748025915,0.0377006092642592,NA,NA,NA,NA,NA,NA,"passive",489,0.229254571026723
"SOC",0.515310159955123,0.515310159955123,0.427253002186586,0.603367317723661,1.8730327872116e-30,11.4697019523889,0.0449279468720452,NA,NA,NA,NA,NA,NA,"SOC",357,0.167369901547117
"Active1",0.372466206589994,0.372466206589994,0.258147645038555,0.486784768141434,1.70456162167913e-10,6.38584268790121,0.0583268684798138,0.13075892338066,0.0560453121230022,0.195290241808034,70.439730520329,3.43633121395651e-15,1278,"active",837,0.634090909090909
"Passive1",0.251379252715825,0.251379252715825,0.134280293485483,0.368478211946166,2.58207395946687e-05,4.20750350833132,0.0597454647911917,NA,NA,NA,NA,NA,NA,"passive",310,0.234848484848485
"SOC1",0.250022824001101,0.250022824001101,0.124275361768378,0.375770286233824,9.73984283634423e-05,3.89698306156062,0.0641580474052599,NA,NA,NA,NA,NA,NA,"SOC",173,0.131060606060606
