"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.5585308751074,0.5585308751074,0.456830312864034,0.660231437350765,5.09354525353556e-27,10.7639562192839,0.0518889954333685,0.156849949174261,0.0920054892046756,0.279331596224314,175.582057441298,7.93365769453296e-38,1120,"active",646,0.575244879786287
"Passive",0.489373506289139,0.489373506289139,0.386783288650549,0.591963723927729,8.8166911309813e-21,9.3493753049024,0.0523429095880378,NA,NA,NA,NA,NA,NA,"passive",298,0.265360641139804
"SOC",0.655746833638006,0.655746833638006,0.540235271705796,0.771258395570215,9.32173621542249e-29,11.1265067791304,0.0589355533281987,NA,NA,NA,NA,NA,NA,"SOC",179,0.159394479073909
"Active1",0.339291323314151,0.339291323314151,0.165105639474068,0.513477007154233,0.000134669969495603,3.8177579196072,0.0888718798988333,0.219921790903874,0.0970660899738376,0.180882785642735,76.4450604707927,1.77563807125973e-16,558,"active",357,0.624125874125874
"Passive1",0.0812983654058623,0.0812983654058623,-0.0975895245514686,0.260186255363193,0.373070862831292,0.890735914183314,0.0912710087370869,NA,NA,NA,NA,NA,NA,"passive",143,0.25
"SOC1",0.286678852809825,0.286678852809825,0.0895298394337139,0.483827866185935,0.00437153677150192,2.85002809303737,0.10058807964391,NA,NA,NA,NA,NA,NA,"SOC",72,0.125874125874126
