id,facet,Group1,Landuse,group,number,OR,Lower,Upper
3,0-30cm,Passive,Grassland,Pine,129,-8.46,-22.74,8.46
3,0-30cm,SOC,Grassland,Pine,88,3.27,-13.53,23.33
3,0-30cm,Sensitivity,Grassland,Pine,107,17.04,-6.25,46.11
4,30+cm,Active,Grassland,Pine,91,4.54,-15.59,29.47
4,30+cm,Passive,Grassland,Pine,68,-10.4,-28.75,12.67
4,30+cm,SOC,Grassland,Pine,29,-1.82,-24.7,28.01
4,30+cm,Sensitivity,Grassland,Pine,47,9.33,-12.51,36.61
3,0-30cm,Active,Grassland,Treecrop,148,-2.83,-21.12,19.7
3,0-30cm,Passive,Grassland,Treecrop,63,7.43,-12.96,32.59
3,0-30cm,SOC,Grassland,Treecrop,42,3.81,-17.06,29.93
3,0-30cm,Sensitivity,Grassland,Treecrop,59,10.46,-7.4,31.78
4,30+cm,Active,Grassland,Treecrop,35,-9.07,-29.01,16.46
4,30+cm,Passive,Grassland,Treecrop,17,-1.23,-24.51,29.22
4,30+cm,SOC,Grassland,Treecrop,22,-1.52,-24.46,28.38
4,30+cm,Sensitivity,Grassland,Treecrop,16,2.31,-14.65,22.66
3,0-30cm,Active,Natural,Envrion.T,865,-23.51,-32.46,-13.36
3,0-30cm,Passive,Natural,Envrion.T,346,-20.92,-30.29,-10.29
3,0-30cm,SOC,Natural,Envrion.T,217,-23.12,-32.82,-12.02
3,0-30cm,Sensitivity,Natural,Envrion.T,240,-14.44,-27.88,1.51
4,30+cm,Active,Natural,Envrion.T,401,-23.98,-34.17,-12.21
4,30+cm,Passive,Natural,Envrion.T,145,-22.89,-33.32,-10.83
4,30+cm,SOC,Natural,Envrion.T,86,-11.44,-24.74,4.22
4,30+cm,Sensitivity,Natural,Envrion.T,105,-21.88,-34.2,-7.25
3,0-30cm,Active,Natural,Eucalyptus,157,-16.75,-36.03,8.33
3,0-30cm,Passive,Natural,Eucalyptus,57,-22.39,-41.66,3.24
3,0-30cm,SOC,Natural,Eucalyptus,20,-17.18,-41.29,16.83
3,0-30cm,Sensitivity,Natural,Eucalyptus,51,12.33,-13.93,46.6
4,30+cm,Active,Natural,Eucalyptus,50,-29.45,-47.07,-5.96
4,30+cm,Passive,Natural,Eucalyptus,20,-11.26,-35.17,21.49
4,30+cm,SOC,Natural,Eucalyptus,4,7.4,-33,72.16
4,30+cm,Sensitivity,Natural,Eucalyptus,14,-18.68,-37.88,6.47
3,0-30cm,Active,Natural,Pine,468,-28.09,-36.7,-18.3
3,0-30cm,Passive,Natural,Pine,168,-27.44,-36.14,-17.55
3,0-30cm,SOC,Natural,Pine,109,-33.45,-43.26,-21.94
