"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","number","Soil_Layer"
"Active",0.0897652718788797,0.0897652718788797,-0.00259946297986305,0.182130006737622,0.056805576936881,1.90480382165464,0.0471257306702082,0.181192435928585,0.0573969847123503,0.228420569041651,1951.21743105793,0,2857,1713,"subsoil"
"Passive",-0.155228360683348,-0.155228360683348,-0.247858115814404,-0.0625986055522929,0.00102165198448795,-3.28449531026078,0.0472609475795,0.181192435928585,0.0573969847123503,0.228420569041651,1951.21743105793,0,2857,661,"subsoil"
"SOC",-0.0438862276086341,-0.0438862276086341,-0.139655240418689,0.0518827852014203,0.369102876762895,-0.898155081757507,0.0488626390920793,0.181192435928585,0.0573969847123503,0.228420569041651,1951.21743105793,0,2857,483,"subsoil"
