"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","number","Soil_Layer"
"Active",0.323309766809534,0.323309766809534,0.160032667711089,0.486586865907979,0.000104035499113195,3.88098209911646,0.083306173167647,0.166877129193417,0.0776863642946102,0.169169281044191,28.7862096541415,2.48345127044745e-06,1592,1071,"subsoil"
"Passive",0.254850334822864,0.254850334822864,0.0873832644967988,0.422317405148929,0.00285754431037334,2.98266087015343,0.0854439528721058,0.166877129193417,0.0776863642946102,0.169169281044191,28.7862096541415,2.48345127044745e-06,1592,321,"subsoil"
"SOC",0.184674683469819,0.184674683469819,0.0162963987964493,0.353052968143188,0.0315822761201609,2.14965801058802,0.0859088666942433,0.166877129193417,0.0776863642946102,0.169169281044191,28.7862096541415,2.48345127044745e-06,1592,260,"subsoil"
