"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","number","Layer"
"Active",-0.104380234291619,-0.104380234291619,-0.392343019798835,0.183582551215597,0.477428702409617,-0.710444231705416,0.146922488259289,0.0603011784214197,0.0760683046522531,0.426587785175703,2.2070999037803,0.530551265844752,153,100,"subsoil"
"Passive",-0.0820290351863442,-0.0820290351863442,-0.493937632067918,0.329879561695229,0.696303900859163,-0.39031463744377,0.210161309151931,0.0603011784214197,0.0760683046522531,0.426587785175703,2.2070999037803,0.530551265844752,153,23,"subsoil"
"SOC",-0.267473714976175,-0.267473714976175,-0.628203546576641,0.09325611662429,0.146148029508352,-1.45327278822082,0.184049214396722,0.0603011784214197,0.0760683046522531,0.426587785175703,2.2070999037803,0.530551265844752,153,30,"subsoil"
