"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","number","Layer"
"Active",-0.334032763730448,-0.334032763730448,-0.489535126851275,-0.178530400609622,2.55172774497317e-05,-4.21017516022798,0.0793393982478298,0.1473784315516,0.058950083560282,0.103083598994918,19.1503925364223,0.000254504364820538,845,551,"subsoil"
"Passive",-0.312375068935958,-0.312375068935958,-0.469198295039729,-0.155551842832188,9.46007907819563e-05,-3.90403832387411,0.0800133203164814,0.1473784315516,0.058950083560282,0.103083598994918,19.1503925364223,0.000254504364820538,845,200,"subsoil"
"SOC",-0.286752260107544,-0.286752260107544,-0.457447295251693,-0.116057224963394,0.000992787656550316,-3.29256267952742,0.0870909039607717,0.1473784315516,0.058950083560282,0.103083598994918,19.1503925364223,0.000254504364820538,845,94,"subsoil"
