"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","number","Layer"
"Active",-0.418596294152637,-0.418596294152637,-0.632294740705737,-0.204897847599537,0.000123429772496771,-3.83921209458694,0.109031823155286,0.0122785003789503,0.0111202427556379,0.0534745420505222,21.4094884834995,8.65477383572793e-05,37,23,"subsoil"
"Passive",-0.572880167494235,-0.572880167494235,-0.836471179812509,-0.30928915517596,2.04681103645729e-05,-4.25972223358743,0.134487681609176,0.0122785003789503,0.0111202427556379,0.0534745420505222,21.4094884834995,8.65477383572793e-05,37,7,"subsoil"
"SOC",-0.489914386875469,-0.489914386875469,-0.754603560031924,-0.225225213719013,0.000285950387391338,-3.62770619717176,0.135047978046683,0.0122785003789503,0.0111202427556379,0.0534745420505222,21.4094884834995,8.65477383572793e-05,37,7,"subsoil"
