id,facet,Group1,N ,Landuse,group,OR,Lower,Upper
4,30+cm,Sensitivity,104,Natural,T.ST,-24.83,-36.17,-11.47
3,0-30cm,Active,38,Natural,Grasslands.savannas,-50.44,-76.22,3.32
3,0-30cm,Passive,19,Natural,Grasslands.savannas,-44.08,-73.44,17.74
3,0-30cm,SOC,18,Natural,Grasslands.savannas,-44.02,-73.52,18.33
3,0-30cm,Sensitivity,16,Natural,Grasslands.savannas,-17.48,-41.89,17.2
4,30+cm,Active,6,Natural,Grasslands.savannas,-13.38,-68.63,139.23
4,30+cm,Passive,7,Natural,Grasslands.savannas,39.13,-49.55,283.66
4,30+cm,SOC,10,Natural,Grasslands.savannas,31.98,-51.83,261.59
4,30+cm,Sensitivity,4,Natural,Grasslands.savannas,-46.22,-62.37,-23.13
3,0-30cm,Active,476,Natural,Temperate forests,-27.46,-36.34,-17.34
3,0-30cm,Passive,177,Natural,Temperate forests,-33.48,-41.89,-23.85
3,0-30cm,SOC,140,Natural,Temperate forests,-21.66,-31.57,-10.32
3,0-30cm,Sensitivity,170,Natural,Temperate forests,1.32,-12.93,17.91
4,30+cm,Active,114,Natural,Temperate forests,-15.57,-30.94,3.22
4,30+cm,Passive,50,Natural,Temperate forests,-14.19,-31.69,7.78
4,30+cm,SOC,28,Natural,Temperate forests,-15.36,-34.57,9.5
4,30+cm,Sensitivity,50,Natural,Temperate forests,-1.72,-15.69,14.58
3,0-30cm,Active,227,Natural,Med.Mon shrublands,-39.23,-48.87,-27.78
3,0-30cm,Passive,78,Natural,Med.Mon shrublands,-13.66,-29.92,6.37
3,0-30cm,SOC,76,Natural,Med.Mon shrublands,-28.68,-41.83,-12.55
3,0-30cm,Sensitivity,78,Natural,Med.Mon shrublands,-21.68,-36.52,-3.37
4,30+cm,Active,80,Natural,Med.Mon shrublands,-20.39,-39.93,5.5
4,30+cm,Passive,19,Natural,Med.Mon shrublands,-25.66,-48.56,7.44
4,30+cm,SOC,30,Natural,Med.Mon shrublands,-24.37,-45.85,5.62
4,30+cm,Sensitivity,19,Natural,Med.Mon shrublands,-15.66,-31.84,4.35
