"","Natural","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.17568224120592,-0.17568224120592,-0.281506789344589,-0.0698576930672509,0.00113876393112582,-3.25379008503473,0.0539931085333199,0.286604862109858,NA,NA,20.6453340311563,3.28793086131435e-05,899,"subsoil",229,0.254444444444444
"Soil.layertopsoil",-0.149149442026074,-0.149149442026074,-0.254313314169419,-0.0439855698827301,0.0054403531321798,-2.77973346480521,0.053656022749838,NA,NA,NA,NA,NA,NA,"topsoil",671,0.745555555555556
