"","Grassland","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.00836071271187884,0.00836071271187884,-0.0922715943085445,0.108993019732302,0.870646518456536,0.162837326158517,0.0513439572431933,0.20746592157388,NA,NA,11.4917357727823,0.00319595961779458,795,"subsoil",211,0.26474278544542
"Soil.layertopsoil",0.0308481517171553,0.0308481517171553,-0.0692453374219232,0.130941640856234,0.545811767021585,0.604047944329743,0.0510690451092996,NA,NA,NA,NA,NA,NA,"topsoil",586,0.73525721455458
