"","Sandy","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.218515161080815,-0.218515161080815,-0.653077542839161,0.216047220677531,0.324355237610338,-0.985547446747304,0.221719575046337,0.878883790341751,NA,NA,294.636085157543,1.04854487832004e-64,202,"subsoil",36,0.178217821782178
"Soil.layertopsoil",0.123247244322718,0.123247244322718,-0.310080186333597,0.556574674979034,0.577217199892401,0.557454116626013,0.221089486375437,NA,NA,NA,NA,NA,NA,"topsoil",166,0.821782178217822
