"","cropland","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.104549972724493,0.104549972724493,0.0332376212490179,0.175862324199968,0.00405984614419271,2.87347390578086,0.0363845213677281,0.260972827098903,NA,NA,646.912306087935,3.3479394538607e-141,2501,"subsoil",1001,0.398487261146497
"Soil.layertopsoil",0.192904791617823,0.192904791617823,0.121766977437904,0.264042605797742,1.06748251526004e-07,5.31484483146887,0.0362954700908002,NA,NA,NA,NA,NA,NA,"topsoil",1511,0.601512738853503
