"","Bareland","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.0196900593100461,-0.0196900593100461,-0.326046861392219,0.286666742772127,0.899755566627797,-0.125970132991519,0.156307363042727,0.752361778353525,NA,NA,208.543065539343,5.19336322769995e-46,305,"subsoil",61,0.2
"Soil.layertopsoil",0.177777990293532,0.177777990293532,-0.127780034819584,0.483336015406649,0.254146832902888,1.14033482868023,0.155899816284033,NA,NA,NA,NA,NA,NA,"topsoil",244,0.8
