Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
topsoil,Bareland,-9.735973629,6.928564712,-29.36079345,0.668893768
topsoil,Bareland,30.22044082,4.282557699,11.48075298,0.668893869
topsoil,Bareland,34.65845463,0.658031979,18.40878567,0.668893768
topsoil,Bareland,31.02310229,2.66249722,15.63452016,0.668893869
topsoil,Cropland,106.2976804,0.006670222,-89.36266361,0.668893869
topsoil,Cropland,59.04206755,0.006670222,-88.60064502,0.668893869
topsoil,Cropland,56.19552581,0.006670222,-57.54478443,0.668893869
topsoil,Cropland,155.1278273,0.006670222,-92.50869259,0.668893869
topsoil,Cropland,32.95702225,0.006670222,-80.33404911,0.668893869
topsoil,Cropland,16.34690353,0.006670222,-16.07533158,0.668893869
topsoil,Cropland,156.5567824,0.006670222,-89.19751361,0.668893869
topsoil,Cropland,108.2063223,0.006670222,-90.18744245,0.668893869
topsoil,Cropland,38.69085119,0.006670222,-52.43841313,0.668893869
topsoil,Grassland,-9.036526213,0.006670222,60.49514646,0.668893869
topsoil,Grassland,-31.56964423,0.006670222,213.7965478,0.668893869
topsoil,Grassland,-8.508384245,0.006670222,173.2116452,0.668893869
topsoil,Grassland,12.49430138,0.006670222,39.89817184,0.668893869
topsoil,Grassland,-42.79314602,0.006670222,570.0515917,0.668893869
topsoil,Grassland,-31.84973681,0.006670222,568.4719673,0.668893869
topsoil,Grassland,13.12437498,0.006670222,70.9592288,0.668893869
topsoil,Grassland,-10.4159489,0.006670222,183.3282714,0.668893869
topsoil,Grassland,-18.7617571,0.006670222,221.0438127,0.668893869
topsoil,Bareland,128.1250113,0.006670222,42.19769049,0.668893869
topsoil,Bareland,328.1250295,0.006670222,-41.76061949,0.668893869
topsoil,Bareland,47.1074338,0.006670222,85.07373828,0.668893869
subsoil,Bareland,47.41379879,0.006670222,190.4216641,0.668893869
subsoil,Bareland,55.17241243,0.006670222,114.9834007,0.668893869
topsoil,Grassland,-6.109322514,0.006670222,22.82627959,0.668893869
topsoil,Grassland,76.2057954,0.006670222,2.788161511,0.668893768
topsoil,Grassland,7.228913739,0.006670222,106.0245322,0.668893869
topsoil,Grassland,50.00000628,0.006670222,182.6661443,0.668893869
subsoil,Grassland,23.91304591,0.006670222,107.1139312,0.668893869
subsoil,Grassland,30.43477899,0.006670222,101.1453413,0.668893869
topsoil,Cropland,43.79378851,0.477041939,132.0648968,0.668893869
topsoil,Cropland,42.81822188,0.890614681,125.9358406,0.668893869
topsoil,Cropland,35.71156256,1.087823538,60.16858087,0.668893869
subsoil,Cropland,17.07804445,1.527486217,34.79499706,0.668893869
subsoil,Cropland,13.52665714,1.221123265,60.18296978,0.668893869
subsoil,Cropland,12.30051796,0.925275248,58.9417756,0.668893869
