"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.164570270409301,0.164570270409301,0.0251305329535483,0.304010007865053,0.0207117235131273,2.31319858179309,0.0711440304799656,0.276934199292132,NA,NA,387.658760348381,6.62170394480162e-85,1106,"subsoil",529,0.477006311992786
"Soil.layertopsoil",0.262927158569043,0.262927158569043,0.123622322582907,0.40223199455518,0.00021621094060754,3.69928120373411,0.0710752019348086,NA,NA,NA,NA,NA,NA,"topsoil",580,0.522993688007214
