"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.105203664948292,0.105203664948292,-0.0386725138921861,0.249079843788771,0.151816467162612,1.43314477769728,0.0734075625753103,0.130770123174243,NA,NA,3.90469760885526,0.141940289764798,293,"subsoil",67,0.228668941979522
"Soil.layertopsoil",0.11904534051708,0.11904534051708,-0.0233376987976378,0.261428379831798,0.101273568591853,1.63871048871946,0.0726457426962011,NA,NA,NA,NA,NA,NA,"topsoil",226,0.771331058020478
