"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.175487305926182,-0.175487305926182,-0.430605111277695,0.0796304994253319,0.177595357551824,-1.3481959790512,0.130164537391427,0.0331873069414747,NA,NA,54.5779688900488,1.40781192230362e-12,90,"subsoil",48,0.533333333333333
"Soil.layertopsoil",-0.0430781306344857,-0.0430781306344857,-0.297162001080391,0.21100573981142,0.739664182842237,-0.33229808888195,0.129637009889001,NA,NA,NA,NA,NA,NA,"topsoil",42,0.466666666666667
