"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.144624003902444,0.144624003902444,-0.0798353679982984,0.369083375803186,0.206644178891978,1.26284697559484,0.114522192076614,0.312817414072922,NA,NA,178.417249589793,1.80795040706137e-39,228,"subsoil",59,0.258771929824561
"Soil.layertopsoil",0.269532333290922,0.269532333290922,0.0453700981462609,0.493694568435584,0.018440234148234,2.35665773754592,0.114370588905115,NA,NA,NA,NA,NA,NA,"topsoil",169,0.741228070175439
