"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.618387599211104,0.618387599211104,0.517770227987232,0.719004970434977,2.04069719259007e-33,12.0458068840144,0.0513363367988031,0.151383791815009,0.0822123334686031,0.282368365833873,147.245423407496,1.03500754089306e-31,2849,"active",1686,0.588687150837989
"Passive",0.55877743904458,0.55877743904458,0.454340423800316,0.663214454288844,9.96022465334713e-26,10.4865468755442,0.0532851705786689,NA,NA,NA,NA,NA,NA,"passive",678,0.236731843575419
"SOC",0.554582108542778,0.554582108542778,0.448411050408929,0.660753166676628,1.3421651737341e-24,10.2378273167797,0.0541699025958197,NA,NA,NA,NA,NA,NA,"SOC",500,0.174581005586592
"Active1",0.419105687827865,0.419105687827865,0.275384379018075,0.562826996637654,1.09413644991013e-08,5.71545069176653,0.0733285458015784,0.155476853413775,0.086881764610261,0.142025747160669,108.428694793243,2.39040570351596e-23,2382,"active",1467,0.600737100737101
"Passive1",0.242496527756391,0.242496527756391,0.0969090647128488,0.388083990799933,0.00109619746773542,3.26459745119946,0.0742806828043359,NA,NA,NA,NA,NA,NA,"passive",606,0.248157248157248
"SOC1",0.235138302961092,0.235138302961092,0.0876962556341864,0.382580350287998,0.00177370143435265,3.12572033246251,0.0752269166627089,NA,NA,NA,NA,NA,NA,"SOC",369,0.151105651105651
