"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.859565467634851,-0.859565467634851,-1.57843035944452,-0.140700575825179,0.019099667419744,-2.34357996629593,0.36677454151198,0.411765275451762,0.27644963514978,0.333196799959816,7.6956374612865,0.0527391323192389,103,"active",57,0.553398058252427
"Passive",-0.604649820131208,-0.604649820131208,-1.36222501450894,0.152925374246519,0.117741866639118,-1.56432243229562,0.386525058803827,NA,NA,NA,NA,NA,NA,"passive",36,0.349514563106796
"SOC",-0.695555742365174,-0.695555742365174,-1.50369905745493,0.112587572724577,0.0916208577316223,-1.68690896629437,0.412325594482492,NA,NA,NA,NA,NA,NA,"SOC",10,0.0970873786407767
