"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.243104476276721,-0.243104476276721,-0.345153375709665,-0.141055576843777,3.0252929622357e-06,-4.66909511646362,0.0520667217550387,0.122176283948628,0.0690744195689563,0.17953931862544,26.5144870331546,7.44172668239096e-06,1329,"active",830,0.624529721595184
"Passive",-0.232926607925211,-0.232926607925211,-0.335182030072556,-0.130671185777866,8.02250532077202e-06,-4.46458244450511,0.0521720924230867,NA,NA,NA,NA,NA,NA,"passive",282,0.212189616252822
"SOC",-0.219475937556641,-0.219475937556641,-0.335056495432784,-0.103895379680499,0.000197826568552187,-3.7217758850511,0.0589707559872666,NA,NA,NA,NA,NA,NA,"SOC",217,0.163280662151994
"Active1",-0.405031376823424,-0.405031376823424,-0.615496568328055,-0.194566185318793,0.000162030000848948,-3.7718679535904,0.107382172919887,0.183526627319344,0.0319637295517647,0.0793979198241957,19.4773426124394,0.000217792605058131,559,"active",381,0.681574239713775
"Passive1",-0.382134853628854,-0.382134853628854,-0.593813589204973,-0.170456118052736,0.000402801011202021,-3.53824179982743,0.108001339435731,NA,NA,NA,NA,NA,NA,"passive",117,0.209302325581395
"SOC1",-0.300160001852396,-0.300160001852396,-0.523271179198101,-0.0770488245066912,0.00836885760718976,-2.63681452551618,0.113834325072082,NA,NA,NA,NA,NA,NA,"SOC",61,0.10912343470483
