"","Naturaltop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.361787955229726,-0.361787955229726,-0.639094987826167,-0.0844809226332847,0.0105560306103765,-2.55706231339101,0.141485779730548,1.6170550755795e-09,0.1319412401328,0.322548880016308,40.567596103398,8.07649986889703e-09,72,"active",47,0.652777777777778
"Passive",1.0439679517467,1.0439679517467,0.547051995367942,1.54088390812545,3.82709965352016e-05,4.11767736610572,0.253533207905025,NA,NA,NA,NA,NA,NA,"passive",8,0.111111111111111
"SOC",0.0703573252629631,0.0703573252629631,-0.284689532900859,0.425404183426785,0.697724996110382,0.388393307511963,0.181149684874001,NA,NA,NA,NA,NA,NA,"SOC",17,0.236111111111111
