"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.434631824494818,0.434631824494818,-0.00352885914677575,0.872792508136412,0.0518738904983608,1.94417882377047,0.223555477089247,0.359398281329757,0.0329602276666243,0.068345473331807,13.8468701076051,0.00312117479501874,155,"active",65,0.419354838709677
"Passive",0.266085666332813,0.266085666332813,-0.173676848968938,0.705848181634564,0.235658240308262,1.18590899557868,0.224372753157987,NA,NA,NA,NA,NA,NA,"passive",47,0.303225806451613
"SOC",0.310881077669281,0.310881077669281,-0.128804903640663,0.750567058979224,0.165808758480646,1.38579745911269,0.224333704485455,NA,NA,NA,NA,NA,NA,"SOC",43,0.27741935483871
"Active1",-0.291472599119769,-0.291472599119769,-0.560296190615328,-0.0226490076242097,0.0335786474259252,-2.12509547088789,0.13715741391985,0,1.26764038350605e-11,0.150457249520096,4.87920694998015,0.180858921193456,22,"active",8,0.363636363636364
"Passive1",0.0371504080011829,0.0371504080011829,-0.250234099664018,0.324534915666383,0.799985402678145,0.253365994864671,0.146627443122452,NA,NA,NA,NA,NA,NA,"passive",7,0.318181818181818
"SOC1",0.0801747625726114,0.0801747625726114,-0.207209745092589,0.367559270237812,0.584521406982612,0.546792338905179,0.146627443122452,NA,NA,NA,NA,NA,NA,"SOC",7,0.318181818181818
