"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.153402613520467,0.153402613520467,-0.343613021502507,0.650418248543441,0.545220255313857,0.604937906270362,0.253584065290674,0.372263959439756,1.19182034774146e-10,0.226861694271263,4.20969304378563,0.239693217790442,72,"active",28,0.388888888888889
"Passive",0.175789710666072,0.175789710666072,-0.3324941710906,0.684073592422743,0.497865217471173,0.677852503540842,0.259333276410154,NA,NA,NA,NA,NA,NA,"passive",25,0.347222222222222
"SOC",-0.129341343612848,-0.129341343612848,-0.64999563556006,0.391312948334363,0.626332192889632,-0.486895775400435,0.265644826157045,NA,NA,NA,NA,NA,NA,"SOC",19,0.263888888888889
"Active1",-0.150132228641495,-0.150132228641495,-0.592564647631394,0.292300190348405,0.505998158215863,-0.665081825893006,0.225734973948374,0.0769140275216192,5.99493699312087e-11,0.188481099886898,2.21118347762884,0.529748935469732,26,"active",8,0.307692307692308
"Passive1",0.111839124355252,0.111839124355252,-0.316849251267856,0.54052749997836,0.609120934640228,0.511328667310322,0.218722578070081,NA,NA,NA,NA,NA,NA,"passive",11,0.423076923076923
"SOC1",-0.144812263569226,-0.144812263569226,-0.604150394169427,0.314525867030975,0.536638689754059,-0.617903897385,0.234360495510837,NA,NA,NA,NA,NA,NA,"SOC",7,0.269230769230769
