"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",-0.11210200342434,-0.11210200342434,-0.647290129543313,0.423086122694632,0.681410201571069,-0.410539544103507,0.273060183932189,0.230136147799184,0.200335983435477,0.143419889242848,20.8781244062288,0.000111593117549122,68,"active",35,0.514705882352941
"Passive",0.489796458491319,0.489796458491319,-0.074076895611754,1.05366981259439,0.0886653213937663,1.70248055066417,0.287695773264628,NA,NA,NA,NA,NA,NA,"passive",14,0.205882352941176
"SOC",0.0110405751920077,0.0110405751920077,-0.536688845036888,0.558769995420903,0.968486196641339,0.0395069699485897,0.279458920954321,NA,NA,NA,NA,NA,NA,"SOC",19,0.279411764705882
"Active1",-0.0934359629605942,-0.0934359629605942,-0.7054588699196,0.518586943998411,0.764770160635857,-0.299222660101919,0.31226232307663,0.10326780184219,0.178026079626018,0.314750711254691,0.75695673557195,0.859732226532824,38,"active",21,0.552631578947368
"Passive1",0.0800365909441272,0.0800365909441272,-0.613764887380886,0.773838069269141,0.821123284249707,0.226100463312026,0.353986850675641,NA,NA,NA,NA,NA,NA,"passive",8,0.210526315789474
"SOC1",-0.149081342563206,-0.149081342563206,-0.821943756134708,0.523781071008297,0.664103067427159,-0.434255289487515,0.343303458062983,NA,NA,NA,NA,NA,NA,"SOC",9,0.236842105263158
