"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.152429467164556,0.152429467164556,-0.0952054874064622,0.400064421735575,0.227648579091587,1.20643818778613,0.126346686227059,0.175212112481236,0.219714746973971,0.164474770554964,31.7799568452655,5.82316394294249e-07,471,"active",264,0.560509554140127
"Passive",-0.0763709948081964,-0.0763709948081964,-0.330477254355609,0.177735264739216,0.555819530769967,-0.589062227566384,0.129648433109879,NA,NA,NA,NA,NA,NA,"passive",127,0.26963906581741
"SOC",0.0873295978036053,0.0873295978036053,-0.174422292326583,0.349081487933794,0.513168097410995,0.653912628460115,0.133549336719886,NA,NA,NA,NA,NA,NA,"SOC",80,0.169851380042463
"Active1",-0.0175238177986818,-0.0175238177986818,-0.440505779336057,0.405458143738693,0.93528305654522,-0.0811998025452992,0.215811088812755,0.384777879613341,0.0335726036183677,0.136900715461896,0.916238795657631,0.821507350584196,184,"active",105,0.570652173913043
"Passive1",0.0227105119122925,0.0227105119122925,-0.406391577247397,0.451812601071982,0.917381721513199,0.103732390363628,0.218933660283756,NA,NA,NA,NA,NA,NA,"passive",48,0.260869565217391
"SOC1",-0.055322046526558,-0.055322046526558,-0.494471273054849,0.383827180001733,0.804979845159991,-0.246907456948732,0.224059844972787,NA,NA,NA,NA,NA,NA,"SOC",31,0.168478260869565
