"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.371246420740929,0.371246420740929,0.245875055042289,0.49661778643957,6.48308157319404e-09,5.80379427141803,0.0639661578924684,0.150006931713549,0.0508233403337075,0.223528679898736,55.5699169192566,5.18943740172175e-12,1034,"active",655,0.633462282398453
"Passive",0.292228221723728,0.292228221723728,0.164856245767764,0.419600197679693,6.90080431849193e-06,4.49672532396535,0.0649868961678167,NA,NA,NA,NA,NA,NA,"passive",215,0.207930367504836
"SOC",0.252956847642155,0.252956847642155,0.110706421185993,0.395207274098317,0.000491573938040726,3.4853063247174,0.0725780818312047,NA,NA,NA,NA,NA,NA,"SOC",164,0.158607350096712
"Active1",0.19141482613113,0.19141482613113,-0.125276680877673,0.508106333139933,0.236158892309985,1.18464233179952,0.16158026856964,0.2534950561214,0.0739823218823071,0.110718350800697,12.3267402523771,0.00634372485141312,242,"active",146,0.603305785123967
"Passive1",-0.0158563366910012,-0.0158563366910012,-0.34281758904994,0.311104915667937,0.924274670746901,-0.095050556042604,0.166820030846468,NA,NA,NA,NA,NA,NA,"passive",54,0.223140495867769
"SOC1",0.0683318042794051,0.0683318042794051,-0.262444410581462,0.399108019140272,0.685558605408758,0.404889678789653,0.168766476052615,NA,NA,NA,NA,NA,NA,"SOC",42,0.173553719008264
