"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.104724164532422,0.104724164532422,-0.275083651951647,0.484531981016491,0.588907689355073,0.540419606670216,0.193783059015341,0.0687491782279502,0.0166746547800482,0.0344968965536017,4.53293600680312,0.209371218053955,126,"active",42,0.333333333333333
"Passive",0.194099099940116,0.194099099940116,-0.185300782837451,0.573498982717682,0.316001835440625,1.00270786202984,0.193574925748751,NA,NA,NA,NA,NA,NA,"passive",42,0.333333333333333
"SOC",0.140449154061153,0.140449154061153,-0.238867084951355,0.519765393073661,0.468013828836858,0.725714470689718,0.19353224957423,NA,NA,NA,NA,NA,NA,"SOC",42,0.333333333333333
