"","Grasslandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.144595044489862,0.144595044489862,-0.047875641188744,0.337065730168469,0.140902738826824,1.47243762624886,0.0982011338967403,0.156010393203263,0.0250693983511134,0.235729136356522,15.4973466950011,0.00143738206250933,447,"active",276,0.61744966442953
"Passive",-0.0847767932478588,-0.0847767932478588,-0.293183115549158,0.123629529053441,0.425284897977596,-0.797286088328836,0.1063317101463,NA,NA,NA,NA,NA,NA,"passive",110,0.246085011185682
"SOC",0.0999611559765333,0.0999611559765333,-0.124251158887711,0.324173470840778,0.382218569001162,0.873815810186971,0.114396140251965,NA,NA,NA,NA,NA,NA,"SOC",61,0.136465324384787
"Active1",0.000874373661392627,0.000874373661392627,-0.176891126767966,0.178639874090751,0.992308146347442,0.00964045825101473,0.0906983504960039,0.0444737158715384,0.00458265013855376,0.192457458726557,4.58935125407907,0.204457490491789,225,"active",103,0.457777777777778
"Passive1",-0.135506697934132,-0.135506697934132,-0.327039174472671,0.0560257786044068,0.165548929630656,-1.38664863742524,0.0977224469680682,NA,NA,NA,NA,NA,NA,"passive",76,0.337777777777778
"SOC1",0.0123122749516096,0.0123122749516096,-0.193256469070125,0.217881018973344,0.906551391237018,0.117389516522794,0.104883939522988,NA,NA,NA,NA,NA,NA,"SOC",46,0.204444444444444
