"","Croplandtop","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Var","number","percent"
"Active",0.350343792103716,0.350343792103716,0.227015006476151,0.473672577731282,2.58081285046296e-08,5.5677286631532,0.0629240060533597,0.102128969132968,0.0638975677794112,0.173839854975333,33.514805575043,2.50803403613196e-07,822,"active",470,0.571776155717762
"Passive",0.340191635580752,0.340191635580752,0.216545754865182,0.463837516296322,6.94748969562942e-08,5.39252379231173,0.0630857922343844,NA,NA,NA,NA,NA,NA,"passive",183,0.222627737226277
"SOC",0.343866605134687,0.343866605134687,0.208687982245596,0.479045228023777,6.17234649810305e-07,4.98574513592292,0.0689699524865571,NA,NA,NA,NA,NA,NA,"SOC",169,0.205596107055961
"Active1",0.0823953811175521,0.0823953811175521,-0.111891867099957,0.276682629335061,0.405859437408582,0.831202155388291,0.0991279685494338,0.145900710561742,0.00467067783285602,0.349711231095978,3.60986081835888,0.306790567994184,390,"active",212,0.543589743589744
"Passive1",0.115023590974034,0.115023590974034,-0.115776835103549,0.345824017051617,0.328676244055399,0.976783706654817,0.117757483248727,NA,NA,NA,NA,NA,NA,"passive",65,0.166666666666667
"SOC1",0.189283598845608,0.189283598845608,-0.0201638166857692,0.398731014376986,0.0765149305401203,1.77127531347333,0.106862889922199,NA,NA,NA,NA,NA,NA,"SOC",113,0.28974358974359
