"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.181440259208114,-0.181440259208114,-0.343278808578584,-0.0196017098376436,0.0279952666109121,-2.19735269981604,0.082572205737979,0.196197729951289,NA,NA,72.8973220861054,1.48097468928409e-16,160,"subsoil",44,0.275
"Soil.layertopsoil",-0.0359513969508065,-0.0359513969508065,-0.195531534588778,0.123628740687165,0.65881109228556,-0.441555222726648,0.0814199336807817,NA,NA,NA,NA,NA,NA,"topsoil",116,0.725
