"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.198104576550014,0.198104576550014,0.078631859138681,0.317577293961347,0.00115433871215158,3.24992888438105,0.0609565881586185,0.395426665823965,NA,NA,59.1472764538639,1.43328352294042e-13,652,"subsoil",256,0.392036753445636
"Soil.layertopsoil",0.246234376689515,0.246234376689515,0.127268317239187,0.365200436139843,4.97693389028316e-05,4.05670753740164,0.0606980844488557,NA,NA,NA,NA,NA,NA,"topsoil",397,0.607963246554365
