"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",-0.253919159481026,-0.253919159481026,-0.396367805206663,-0.11147051375539,0.000476381346709097,-3.49369700941936,0.0726792159699123,0.315004391764364,NA,NA,25.2183983160137,3.34113777426382e-06,427,"subsoil",109,0.255269320843091
"Soil.layertopsoil",-0.206799642592485,-0.206799642592485,-0.34804510841835,-0.0655541767666189,0.00410974211939271,-2.86961318812685,0.072065337393948,NA,NA,NA,NA,NA,NA,"topsoil",318,0.744730679156909
