"","Abandoned","estimate","ci.lb","ci.ub","pval","zval","se","sigma1","sigma2","sigma3","Qm","QmP","K","Soil.layer","number","percent"
"Soil.layersubsoil",0.039021157296371,0.039021157296371,-0.142000845348858,0.2200431599416,0.672667087725769,0.422490425574657,0.0923598617490461,0.351945354784485,NA,NA,5.685455521617,0.0582665118884823,173,"subsoil",57,0.329479768786127
"Soil.layertopsoil",0.00858662323504132,0.00858662323504132,-0.171451206801323,0.188624453271406,0.925524285448153,0.0934774224178138,0.0918577236400668,NA,NA,NA,NA,NA,NA,"topsoil",116,0.670520231213873
